Time/us,Incident_strain(με),Transmitted_strain(με)
0.0,3.78996803999086e-05,5.276119986193746e-05
0.19999999999999998,-3.793305011667489e-05,-5.275828562475364e-05
0.39999999999999997,3.796646958815651e-05,5.275538864332502e-05
0.6,-3.799993900747696e-05,-5.275250992731488e-05
0.7999999999999999,3.8033458269604156e-05,5.274964839590917e-05
1.0,-3.806702799117809e-05,-5.2746805187520174e-05
1.2,3.810064797907524e-05,5.274397901126968e-05
1.4,-3.8134317985961995e-05,-5.2741171232574807e-05
1.5999999999999999,3.8168038703017236e-05,5.273838046230151e-05
1.7999999999999998,-3.820181012007657e-05,-5.2735608214944706e-05
2.0,3.823563222019933e-05,5.273285266430136e-05
2.2,-3.826950503387871e-05,-5.273011594150636e-05
2.4,3.8303429458969637e-05,5.2727395813780865e-05
2.5999999999999996,-3.833740422831081e-05,-5.272469437499032e-05
2.8,3.837143089027847e-05,5.272200971422839e-05
3.0,-3.840550841149241e-05,-5.271934345441021e-05
3.1999999999999997,3.843963844197282e-05,5.271669423689493e-05
3.3999999999999995,-3.847381877265777e-05,-5.271406334578449e-05
3.5999999999999996,3.850805236477444e-05,5.271144933773476e-05
3.8,-3.854233676531542e-05,-5.2708853744181305e-05
4.0,3.857667434597296e-05,5.270627508789866e-05
4.199999999999999,-3.8611062728278545e-05,-5.270371476479713e-05
4.4,3.864550498526771e-05,5.27011714636697e-05
4.6,-3.867999817265392e-05,-5.269864630937614e-05
4.8,3.871454505854086e-05,5.269613828886503e-05
5.0,-3.8749143698140875e-05,-5.269364828982691e-05
5.199999999999999,3.878379671386797e-05,5.269117575322003e-05
5.4,-3.8818500815846185e-05,-5.268872085522724e-05
5.6,3.8853259778454325e-05,5.2686283697492503e-05
5.8,-3.8888070593031364e-05,-5.268386385988747e-05
6.0,3.892293619369943e-05,5.268146205730795e-05
6.2,-3.895785373103969e-05,-5.267907738512275e-05
6.3999999999999995,3.899282655930262e-05,5.267671085977142e-05
6.6,-3.9027851961206516e-05,-5.2674361210704526e-05
6.799999999999999,3.9062932481238356e-05,5.267203003712028e-05
7.0,-3.909806587984303e-05,-5.266971547554619e-05
7.199999999999999,3.9133254684566845e-05,5.266741954869695e-05
7.3999999999999995,-3.916849677782744e-05,-5.266514002379369e-05
7.6,3.920379435513421e-05,5.266287936400824e-05
7.8,-3.923914569531621e-05,-5.266063502824174e-05
8.0,3.927455235691406e-05,5.2658409608415026e-05
8.2,-3.931001365213701e-05,-5.265620021106354e-05
8.399999999999999,3.9345530143414936e-05,5.2654009885505894e-05
8.6,-3.938110203403574e-05,-5.265183566712677e-05
8.8,3.941672883610845e-05,5.264968054764655e-05
9.0,-3.945241159656579e-05,-5.264754143370089e-05
9.2,3.948814937011899e-05,5.264542135427963e-05
9.4,-3.952394351202076e-05,-5.2643317148255795e-05
9.6,3.955979316507376e-05,5.2641232207149315e-05
9.799999999999999,-3.959569955239357e-05,-5.2639163210591033e-05
10.0,3.963166107478198e-05,5.263711313336066e-05
10.2,-3.966768028689036e-05,-5.263507936659672e-05
10.399999999999999,3.9703754498542077e-05,5.263306438024729e-05
10.6,-3.973988677938452e-05,-5.263106568064737e-05
10.8,3.9776074412136006e-05,5.2629085595443494e-05
11.0,-3.9812320632462385e-05,-5.2627122108697254e-05
11.2,3.9848622363939995e-05,5.262517706016421e-05
11.399999999999999,-3.988498260167734e-05,-5.2623248559266825e-05
11.6,3.9921398946877107e-05,5.262133848980637e-05
11.799999999999999,-3.995787441158846e-05,-5.261944508656619e-05
12.0,3.999440572965236e-05,5.261756987759371e-05
12.2,-4.003099660090871e-05,-5.261571143648546e-05
12.4,4.0067643830349244e-05,5.2613871216749966e-05
12.6,-4.0104350697685526e-05,-5.261204789701584e-05
12.799999999999999,4.014111438060378e-05,5.26102425987547e-05
13.0,-4.017793788776503e-05,-5.26084543800659e-05
13.2,4.021481869839923e-05,5.260668398972658e-05
13.399999999999999,-4.025175946202543e-05,-5.2604930685735875e-05
13.599999999999998,4.028875776290568e-05,5.2603195291409804e-05
13.8,-4.032581639286056e-05,-5.260147688178839e-05
14.0,4.036293293615211e-05,5.259977640893667e-05
14.2,-4.04001102354229e-05,-5.259809296822345e-05
14.399999999999999,4.043734562760135e-05,5.2596427410069816e-05
14.6,-4.047464206713837e-05,-5.2594778775634466e-05
14.799999999999999,4.051199683675227e-05,5.259314822027034e-05
14.999999999999998,-4.0549413168720775e-05,-5.2591534510697474e-05
15.2,4.05868880374422e-05,5.258993895812286e-05
15.399999999999999,-4.062442448207076e-05,-5.258836008532105e-05
15.6,4.0662020385024084e-05,5.258679940001068e-05
15.799999999999997,-4.0699677833391356e-05,-5.258525538092058e-05
16.0,4.073739486205614e-05,5.2583729630637085e-05
